mdate,Rf,MktRf,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
196612,0.40%,0.22%,-0.53%,3.29%,-1.55%,-4.43%,3.07%,-1.23%,-0.73%,-0.18%,2.16%,2.51%,2.20%,3.28%,1.42%,-2.71%,-0.50%,1.78%,2.11%,7.19%,-0.75%,2.11%,2.96%,3.93%,0.38%,-0.22%,0.58%,1.40%,-4.64%,5.85%,3.44%,8.28%
196701,0.43%,8.12%,6.37%,9.80%,16.43%,18.54%,11.60%,6.16%,11.41%,6.45%,11.86%,13.02%,15.03%,15.42%,13.13%,15.78%,13.57%,10.87%,12.86%,7.03%,3.52%,2.81%,6.24%,19.71%,9.87%,8.96%,12.49%,16.73%,11.61%,15.30%,9.00%,8.69%
196702,0.36%,0.73%,1.63%,3.73%,-3.31%,1.46%,5.05%,4.48%,3.41%,1.40%,-0.74%,3.86%,2.51%,-3.42%,-1.40%,4.99%,-1.13%,2.21%,-1.60%,3.10%,-0.12%,-1.72%,2.13%,0.03%,6.30%,1.29%,-1.27%,11.25%,2.55%,5.88%,0.21%,5.01%
196703,0.39%,3.95%,3.56%,8.34%,4.91%,-0.23%,7.55%,3.99%,4.05%,7.86%,3.83%,2.14%,8.60%,5.18%,11.21%,4.38%,5.40%,7.19%,4.32%,9.83%,3.50%,1.54%,2.97%,4.46%,5.33%,6.99%,4.27%,4.24%,1.96%,15.48%,1.29%,2.57%
196704,0.32%,3.84%,4.16%,6.12%,3.48%,10.55%,6.26%,4.66%,2.91%,4.46%,5.72%,7.08%,3.87%,3.23%,4.74%,4.94%,9.48%,5.19%,5.81%,5.77%,1.63%,1.87%,0.19%,7.93%,8.08%,1.95%,0.75%,2.81%,9.72%,8.99%,0.44%,2.46%
196705,0.33%,-4.26%,-1.56%,-5.34%,-7.56%,-7.42%,-3.66%,-5.56%,0.14%,-5.28%,-5.65%,-2.16%,-5.40%,-1.91%,-2.66%,-3.32%,-6.40%,0.73%,1.37%,-0.50%,-2.44%,-4.12%,-5.67%,-1.36%,-4.65%,-3.13%,-2.11%,3.39%,-5.46%,1.61%,-2.38%,0.44%
196706,0.27%,2.42%,3.93%,4.28%,6.64%,10.67%,-5.88%,1.53%,4.87%,5.41%,-0.30%,-0.89%,4.49%,1.47%,4.16%,7.32%,0.85%,10.29%,5.40%,6.61%,2.21%,-1.32%,2.73%,9.38%,6.22%,-1.35%,0.48%,8.43%,3.37%,13.07%,3.75%,6.93%
196707,0.32%,4.60%,5.80%,2.67%,8.33%,6.51%,4.62%,6.45%,4.99%,3.79%,4.16%,8.33%,7.25%,7.74%,6.06%,8.49%,9.08%,4.13%,13.88%,3.24%,6.97%,2.29%,-6.58%,7.00%,3.90%,4.26%,7.34%,5.44%,6.21%,1.72%,6.90%,9.04%
196708,0.31%,-0.94%,-1.66%,0.55%,-4.88%,0.68%,-0.66%,-0.45%,5.33%,0.65%,-0.30%,2.46%,2.85%,0.74%,-0.10%,2.73%,-0.62%,-4.04%,-3.53%,0.49%,-1.49%,-0.71%,-1.24%,2.24%,-0.86%,-1.12%,-2.44%,2.68%,0.50%,-0.36%,2.13%,-2.93%
196709,0.32%,3.11%,2.58%,-1.46%,-1.81%,5.89%,2.20%,3.37%,7.74%,2.90%,5.64%,10.48%,3.32%,0.26%,4.18%,5.86%,5.28%,-2.61%,6.51%,4.97%,4.23%,-0.12%,1.23%,8.44%,8.60%,2.87%,-3.80%,6.76%,1.75%,9.19%,3.21%,5.96%
196710,0.39%,-3.13%,-3.39%,-3.20%,3.39%,-0.26%,-6.57%,0.35%,1.05%,-5.02%,-6.51%,-2.96%,-5.16%,-10.04%,-6.28%,-2.88%,-5.47%,-4.01%,-6.62%,-0.21%,-1.00%,-5.42%,-3.51%,4.64%,5.24%,-4.86%,-9.30%,-0.20%,0.52%,9.84%,-3.98%,-3.44%
196711,0.36%,0.43%,0.77%,-0.69%,-5.15%,-4.09%,3.41%,2.70%,2.80%,1.33%,-2.84%,-0.78%,-1.90%,-0.11%,-0.19%,1.02%,0.58%,2.21%,1.63%,-3.01%,0.82%,3.18%,0.08%,0.79%,1.40%,-0.20%,-0.12%,0.22%,0.58%,8.24%,-1.39%,-1.19%
196712,0.33%,3.04%,2.74%,-0.39%,8.02%,3.44%,0.04%,2.18%,7.35%,1.62%,5.97%,1.84%,5.88%,4.76%,4.25%,5.22%,4.18%,4.64%,5.52%,6.09%,3.02%,3.23%,0.13%,15.70%,1.62%,6.10%,2.11%,12.15%,2.74%,7.74%,7.26%,7.03%
196801,0.40%,-4.03%,-1.06%,-0.88%,-0.06%,-3.83%,-3.96%,-10.34%,0.86%,-6.58%,-4.89%,2.42%,0.14%,-4.74%,-3.66%,-8.90%,-4.40%,-10.78%,-3.27%,2.45%,-0.94%,0.20%,2.67%,-2.45%,-8.75%,-3.61%,-6.90%,1.70%,1.28%,-3.64%,2.90%,0.14%
196802,0.39%,-3.75%,-2.29%,-1.46%,1.16%,-5.36%,-5.03%,-2.83%,-5.57%,-4.24%,-4.39%,-2.05%,-3.87%,-4.22%,-6.33%,-4.59%,-3.10%,-3.74%,-0.50%,-6.98%,-2.62%,-1.48%,-2.41%,-7.58%,-4.34%,-4.26%,-3.15%,-10.91%,0.10%,-7.54%,-2.89%,-7.99%
196803,0.38%,0.13%,0.37%,2.26%,-1.78%,5.01%,2.19%,3.49%,3.91%,0.11%,-0.53%,-1.17%,0.27%,-0.69%,-0.92%,-0.95%,-0.32%,0.89%,-1.05%,4.54%,0.68%,-3.93%,-1.12%,-0.35%,4.50%,2.08%,-2.15%,-1.89%,3.20%,2.34%,0.90%,-1.33%
196804,0.43%,8.98%,10.56%,5.57%,5.54%,17.30%,14.11%,11.12%,14.77%,11.89%,7.95%,12.61%,15.11%,7.20%,11.94%,14.84%,11.33%,10.60%,6.65%,13.17%,5.62%,2.49%,2.21%,19.08%,12.29%,12.65%,11.35%,16.37%,11.87%,18.41%,11.35%,16.42%
196805,0.45%,2.25%,5.24%,3.86%,0.52%,6.31%,3.49%,2.24%,6.78%,3.35%,-0.70%,5.47%,5.49%,5.18%,3.47%,1.92%,0.74%,1.40%,3.47%,11.01%,1.14%,0.44%,-0.72%,3.93%,3.75%,5.44%,6.26%,9.88%,2.71%,13.71%,6.70%,6.16%
196806,0.43%,0.72%,1.09%,2.12%,4.30%,-5.05%,-0.38%,-2.15%,3.81%,2.23%,0.88%,-1.86%,-0.93%,0.65%,0.52%,-1.53%,0.01%,-1.92%,-0.27%,0.48%,1.87%,8.44%,4.17%,0.99%,-1.92%,1.38%,1.44%,-0.22%,0.65%,0.44%,7.76%,-2.31%
196807,0.48%,-2.68%,-4.30%,0.71%,-1.38%,-4.14%,-6.41%,-5.40%,-3.04%,-4.12%,-1.04%,-4.02%,-0.08%,-6.61%,-4.55%,-3.71%,-2.41%,-6.58%,-6.62%,-2.00%,5.35%,0.18%,-0.20%,-5.18%,-5.55%,-2.17%,-4.68%,-8.51%,-5.01%,-6.57%,0.57%,-5.29%
196808,0.42%,1.38%,2.10%,7.74%,-3.19%,4.42%,-0.13%,2.14%,4.75%,0.68%,2.52%,8.74%,8.03%,1.52%,4.07%,1.58%,1.67%,0.63%,-1.70%,-1.48%,1.28%,-0.87%,1.28%,0.09%,0.52%,6.36%,0.25%,0.17%,2.32%,6.00%,5.43%,4.59%
196809,0.43%,4.02%,3.89%,5.00%,5.71%,12.73%,4.87%,1.94%,3.74%,0.84%,6.98%,7.56%,5.00%,7.83%,4.97%,4.44%,6.81%,2.30%,3.94%,7.04%,3.53%,0.25%,2.97%,10.39%,2.80%,4.20%,11.57%,8.56%,7.59%,7.99%,9.26%,9.15%
196810,0.44%,0.46%,1.03%,-5.03%,1.56%,-0.66%,3.32%,0.81%,1.46%,-0.04%,2.23%,2.11%,-1.91%,2.79%,1.50%,-1.18%,3.88%,-1.55%,-1.00%,-4.96%,2.64%,0.49%,3.17%,0.06%,-5.03%,5.13%,0.01%,3.75%,0.37%,6.65%,2.92%,-2.05%
196811,0.42%,5.43%,5.53%,5.22%,3.04%,6.57%,1.52%,6.98%,4.67%,8.11%,4.66%,5.09%,6.49%,5.48%,5.07%,5.18%,-2.02%,7.79%,9.70%,9.38%,5.60%,8.80%,5.40%,6.93%,8.66%,5.86%,7.97%,11.13%,4.53%,9.38%,6.52%,9.28%
196812,0.43%,-3.82%,-1.71%,-0.55%,10.30%,-4.15%,-5.02%,-6.97%,-1.21%,-1.02%,-2.59%,-3.39%,-1.82%,0.82%,-2.41%,-4.41%,-4.00%,-2.66%,2.84%,0.16%,-2.55%,-2.91%,-6.66%,-4.60%,-5.47%,-2.85%,-3.92%,-1.08%,-4.95%,1.43%,-5.92%,0.38%
196901,0.53%,-1.20%,-0.69%,-0.46%,3.64%,-2.31%,-4.50%,0.09%,-0.71%,-0.23%,-1.90%,-4.30%,-1.50%,2.72%,-0.49%,-2.17%,-1.29%,-2.93%,-2.91%,0.97%,-1.17%,2.43%,1.17%,2.18%,-4.78%,-1.76%,2.83%,-1.75%,-0.70%,-1.17%,-0.27%,-2.87%
196902,0.46%,-5.82%,-5.60%,-5.03%,-9.50%,-6.88%,-7.04%,-4.65%,-9.76%,-5.16%,-5.56%,-7.97%,-5.95%,-8.41%,-6.50%,-3.96%,-2.65%,-7.45%,-7.03%,-7.28%,-4.58%,-5.21%,-3.33%,-9.83%,-3.43%,-4.29%,-8.13%,-13.58%,-2.83%,-11.76%,-8.62%,-10.06%
196903,0.46%,2.59%,1.04%,1.68%,-1.72%,0.76%,3.75%,2.20%,0.77%,3.34%,0.14%,-3.19%,4.47%,2.88%,2.84%,3.57%,4.92%,-1.23%,-1.09%,-5.89%,7.24%,-1.29%,-0.42%,2.56%,5.63%,8.31%,-2.95%,3.06%,5.61%,3.44%,3.27%,1.49%
196904,0.53%,1.52%,2.15%,1.14%,-1.98%,5.87%,0.05%,5.02%,-1.33%,4.98%,-1.20%,-0.17%,2.37%,0.78%,-0.76%,-0.85%,-0.19%,-3.78%,1.05%,-10.59%,-0.28%,1.33%,7.73%,1.58%,4.09%,3.59%,-1.41%,4.00%,3.75%,6.71%,2.95%,-0.38%
196905,0.48%,0.02%,1.67%,2.97%,1.71%,-3.59%,1.89%,0.17%,-1.81%,1.68%,-0.51%,0.86%,-0.61%,-2.91%,-1.07%,-0.97%,0.89%,-6.95%,1.77%,0.40%,3.79%,0.03%,1.08%,-2.24%,-1.70%,-0.06%,-2.20%,-4.78%,0.86%,3.32%,-1.35%,0.02%
196906,0.51%,-7.25%,-5.99%,-8.04%,-5.50%,-12.79%,-10.72%,-1.69%,-8.62%,-5.04%,-7.48%,-10.23%,-11.99%,-10.26%,-8.95%,-5.67%,-5.99%,-9.00%,-12.81%,-10.35%,-9.86%,-5.73%,-4.00%,-10.07%,0.14%,-9.93%,-8.12%,-17.05%,-4.17%,-9.93%,-9.99%,-12.14%
196907,0.53%,-7.05%,-6.05%,-2.10%,-4.74%,-8.58%,-10.84%,-3.43%,-11.91%,-2.73%,-4.21%,-6.15%,-7.07%,-6.53%,-6.55%,-8.51%,-7.76%,-12.99%,-9.87%,5.58%,-9.73%,-2.97%,-4.50%,-7.45%,-5.27%,-2.51%,-12.53%,-10.09%,-8.19%,-10.20%,-8.65%,-10.93%
196908,0.50%,4.65%,4.77%,6.63%,3.99%,8.01%,8.89%,4.77%,2.40%,9.30%,3.30%,4.16%,8.47%,0.38%,3.08%,4.75%,2.44%,5.71%,5.10%,4.78%,6.61%,-1.29%,1.66%,9.90%,7.00%,5.75%,5.57%,6.38%,8.20%,9.02%,10.55%,3.22%
196909,0.62%,-2.88%,1.04%,-0.91%,4.12%,1.54%,-0.14%,-0.52%,-2.64%,2.09%,-5.46%,-3.02%,-3.44%,-1.04%,-2.95%,-1.83%,-0.53%,-4.62%,2.00%,-0.55%,-9.70%,-4.14%,-4.00%,2.14%,0.34%,0.02%,-1.57%,0.21%,-0.69%,-0.83%,-0.72%,-1.23%
196910,0.60%,4.96%,7.76%,11.64%,12.42%,8.65%,7.92%,6.41%,6.72%,8.98%,4.51%,6.78%,8.72%,8.16%,4.83%,10.37%,4.98%,6.08%,1.26%,10.76%,-1.13%,8.28%,3.50%,11.69%,5.52%,5.64%,4.89%,11.25%,6.16%,8.94%,9.07%,8.07%
196911,0.52%,-3.74%,-1.88%,-2.83%,0.61%,-6.59%,-4.24%,-2.42%,-2.90%,0.32%,-4.55%,-4.22%,-3.78%,-4.56%,-3.42%,-3.52%,-4.11%,-8.48%,0.04%,3.98%,-4.58%,-5.27%,1.18%,-2.68%,-1.77%,-1.68%,-7.95%,-6.83%,-4.08%,-2.36%,-6.81%,-6.47%
196912,0.64%,-2.61%,-0.39%,-0.63%,-1.95%,-5.38%,-3.10%,0.94%,-6.37%,4.30%,-3.65%,-5.55%,-3.33%,-1.30%,-2.28%,-2.69%,-3.18%,-5.96%,-4.04%,5.11%,-3.07%,-0.64%,-5.51%,0.05%,-0.62%,-3.00%,-7.97%,-4.26%,-2.70%,-5.03%,-2.27%,-5.62%
197001,0.60%,-7.93%,-2.71%,-1.35%,-6.99%,-7.17%,-11.48%,-6.89%,-4.79%,-7.12%,-6.77%,-4.68%,-9.24%,-5.73%,-6.52%,-6.20%,-8.78%,-11.86%,-1.76%,-0.17%,-11.57%,-4.23%,-2.57%,-10.70%,-9.13%,-8.89%,-7.68%,-7.76%,-5.63%,-12.58%,-9.15%,-5.68%
197002,0.62%,5.05%,5.44%,6.86%,0.29%,6.78%,1.17%,0.26%,2.70%,5.60%,3.76%,5.04%,8.72%,10.98%,6.37%,8.40%,7.39%,5.39%,5.91%,16.82%,5.23%,8.36%,7.96%,2.47%,2.90%,8.05%,10.54%,1.98%,5.81%,6.52%,11.24%,4.00%
197003,0.57%,-1.04%,-0.90%,-0.62%,1.42%,-2.74%,-3.11%,-0.96%,-0.57%,-5.08%,0.83%,1.12%,-1.36%,0.80%,2.56%,2.34%,4.58%,-2.23%,-1.44%,-3.29%,-0.40%,2.91%,2.29%,-4.91%,-2.52%,0.57%,-3.36%,-5.31%,-0.95%,-7.39%,-0.78%,-2.09%
197004,0.50%,-11.03%,-10.11%,-9.39%,-2.81%,-20.51%,-15.45%,-7.92%,-14.12%,-10.11%,-4.28%,-7.60%,-10.59%,-9.42%,-11.53%,-8.41%,-9.19%,-14.23%,-13.39%,-14.70%,-9.09%,-8.05%,-8.79%,-21.88%,-14.28%,-8.91%,-11.94%,-20.28%,-9.98%,-20.01%,-12.77%,-14.35%
197005,0.53%,-6.96%,-7.23%,-6.10%,3.53%,-9.89%,-16.07%,-8.22%,-10.23%,-7.78%,-2.82%,-10.23%,-9.39%,-9.36%,-9.76%,-8.53%,-5.22%,-8.69%,-3.51%,5.87%,2.59%,-5.36%,-3.75%,-11.07%,-9.62%,-7.09%,-6.82%,-11.66%,-9.38%,-13.85%,-8.35%,-10.82%
197006,0.58%,-5.69%,-0.59%,-2.64%,6.66%,-9.51%,-9.36%,-5.05%,-6.89%,-0.51%,-1.55%,-2.55%,-5.76%,-6.48%,-4.82%,0.74%,-3.44%,-10.73%,-1.13%,-3.03%,-2.44%,-4.70%,-8.48%,-8.42%,-11.89%,-6.14%,-15.25%,-6.82%,-3.73%,-6.49%,-4.56%,-9.51%
197007,0.52%,6.90%,5.55%,6.76%,3.50%,8.19%,12.64%,4.60%,8.28%,2.16%,8.52%,10.60%,9.89%,3.53%,3.62%,5.32%,8.93%,4.33%,2.33%,6.33%,12.84%,8.70%,10.26%,6.89%,2.23%,7.43%,8.34%,4.32%,11.82%,2.17%,8.78%,9.26%
197008,0.53%,4.47%,-0.23%,-2.71%,0.65%,8.64%,5.87%,4.22%,7.25%,1.80%,5.30%,4.37%,4.06%,-0.02%,4.40%,2.53%,9.05%,9.92%,4.56%,-2.94%,6.64%,4.67%,2.51%,3.36%,8.10%,7.49%,8.43%,6.61%,5.04%,6.58%,5.03%,6.17%
197009,0.54%,4.21%,4.86%,4.48%,0.51%,10.34%,7.28%,6.38%,11.96%,8.03%,-1.29%,5.87%,7.46%,4.18%,8.17%,3.14%,1.36%,8.98%,8.17%,24.10%,2.98%,-0.52%,-0.95%,14.60%,10.01%,0.88%,9.04%,16.36%,6.77%,17.14%,5.25%,6.77%
197010,0.46%,-2.28%,1.13%,-1.01%,10.35%,-4.18%,-2.05%,-0.16%,-3.68%,0.26%,-4.06%,-1.90%,-4.06%,-5.03%,-3.47%,0.08%,-2.82%,-9.93%,-4.77%,6.32%,2.92%,-0.82%,-3.75%,-5.92%,-3.46%,-3.71%,-5.03%,-7.58%,-0.91%,-2.67%,-7.25%,-8.61%
197011,0.46%,4.58%,5.81%,-0.83%,10.05%,8.14%,2.14%,4.89%,2.47%,2.96%,4.57%,2.73%,1.86%,1.95%,3.14%,3.67%,8.37%,4.56%,-1.74%,8.88%,4.90%,9.39%,6.12%,2.93%,4.01%,0.43%,3.62%,-1.05%,7.75%,3.96%,5.91%,5.89%
197012,0.42%,5.65%,6.26%,4.29%,2.66%,4.41%,12.94%,5.66%,14.10%,5.37%,9.81%,13.31%,9.41%,7.45%,12.06%,3.62%,6.06%,5.61%,5.72%,5.59%,2.20%,7.17%,6.85%,3.62%,4.43%,9.42%,10.57%,11.09%,4.84%,6.31%,9.54%,8.50%
197101,0.38%,4.82%,2.72%,4.51%,5.74%,11.54%,5.33%,5.14%,12.70%,4.94%,6.99%,6.18%,6.19%,4.26%,8.23%,7.57%,2.02%,16.56%,5.89%,3.37%,0.26%,2.93%,9.77%,8.80%,5.28%,4.65%,15.82%,13.95%,7.85%,7.06%,5.24%,13.99%
197102,0.33%,1.36%,2.33%,1.67%,5.07%,5.94%,7.47%,1.68%,5.97%,1.39%,1.79%,6.32%,0.49%,-0.13%,0.91%,7.07%,0.06%,4.24%,3.35%,3.75%,4.82%,-2.59%,-5.30%,3.73%,2.77%,2.00%,2.78%,1.87%,3.55%,6.39%,1.88%,2.79%
197103,0.30%,4.18%,4.02%,2.66%,9.60%,11.29%,4.53%,6.36%,4.16%,3.68%,3.21%,-0.43%,0.85%,4.00%,3.79%,2.03%,2.46%,3.36%,6.19%,8.88%,2.66%,2.41%,0.71%,7.72%,8.08%,3.33%,2.99%,9.50%,6.26%,9.20%,7.14%,1.95%
197104,0.28%,3.05%,1.71%,1.50%,1.72%,6.84%,5.44%,3.82%,2.76%,4.23%,6.43%,-0.04%,4.31%,2.82%,5.37%,8.91%,8.62%,6.47%,3.97%,2.83%,4.34%,-3.54%,0.82%,2.16%,2.24%,1.96%,11.70%,1.70%,5.57%,3.20%,2.33%,6.14%
197105,0.29%,-3.93%,-1.49%,-1.69%,-7.71%,-0.59%,-6.31%,-1.05%,-3.93%,-2.10%,-0.82%,-3.57%,-4.97%,-3.67%,-4.32%,-2.80%,-4.80%,-3.67%,-2.00%,-7.81%,-4.69%,-3.70%,-5.21%,-3.97%,-6.25%,-2.90%,-3.62%,-3.08%,-1.99%,1.14%,-5.40%,-7.13%
197106,0.37%,-0.06%,1.04%,1.13%,0.06%,1.01%,-0.60%,3.37%,-1.77%,2.02%,-0.21%,-6.48%,-2.47%,-4.71%,0.20%,1.68%,-1.50%,-1.29%,-1.52%,5.42%,0.98%,4.30%,1.04%,0.63%,-2.37%,-1.40%,-3.34%,2.06%,-0.05%,3.89%,0.07%,-3.14%
197107,0.40%,-4.43%,-0.89%,-3.12%,0.53%,-10.02%,-2.43%,-5.83%,-6.49%,-2.25%,-4.11%,-4.48%,-3.51%,-7.56%,-4.73%,-6.84%,-3.41%,-7.91%,-4.27%,-11.20%,-2.01%,-2.13%,-3.61%,-9.71%,-8.69%,-3.82%,-6.01%,-5.98%,-2.87%,-7.64%,-1.87%,-7.52%
197108,0.47%,3.78%,2.07%,1.35%,2.47%,8.75%,3.89%,6.76%,6.47%,3.27%,7.90%,7.66%,7.04%,8.64%,9.06%,9.48%,9.81%,4.95%,-3.61%,4.19%,-1.29%,-2.32%,-0.32%,3.71%,5.65%,1.89%,16.23%,4.24%,6.29%,4.94%,6.67%,3.83%
197109,0.37%,-0.87%,0.48%,-0.74%,-2.87%,-3.36%,1.59%,1.59%,-0.28%,0.66%,0.09%,-0.39%,1.74%,-7.38%,-1.10%,1.16%,0.21%,-0.24%,-2.67%,-8.13%,-1.55%,-1.50%,0.23%,-0.91%,-1.62%,-1.72%,-0.47%,-0.32%,0.50%,-0.02%,-0.30%,3.27%
197110,0.37%,-4.44%,-3.26%,1.00%,-8.80%,-6.41%,-3.28%,-4.21%,-4.27%,-2.50%,-6.71%,-8.60%,-5.95%,-10.21%,-8.53%,-6.66%,-5.88%,-6.30%,-13.60%,-9.61%,-4.27%,2.05%,-1.74%,-5.71%,-4.36%,-4.50%,-1.90%,-3.58%,-3.51%,-2.23%,-2.31%,-3.87%
197111,0.37%,-0.50%,0.58%,0.70%,1.70%,0.87%,-4.61%,1.71%,-1.97%,0.58%,-1.43%,-5.17%,-3.97%,-2.53%,-2.39%,-2.05%,-0.40%,-1.44%,-3.83%,-3.73%,0.11%,-1.21%,0.38%,-0.51%,1.84%,-1.54%,-0.44%,-2.79%,0.36%,0.68%,1.16%,-2.80%
197112,0.37%,8.76%,9.10%,13.33%,8.54%,13.87%,12.45%,8.48%,10.69%,7.90%,6.88%,14.88%,8.50%,13.95%,12.95%,11.73%,6.20%,13.01%,11.69%,16.89%,8.75%,8.10%,7.36%,14.32%,11.11%,9.42%,9.87%,14.15%,9.77%,12.03%,5.91%,13.33%
197201,0.29%,2.55%,0.35%,2.86%,5.87%,10.00%,1.40%,3.20%,5.15%,2.60%,4.41%,6.98%,1.68%,4.36%,3.27%,2.39%,2.84%,13.96%,7.86%,9.18%,0.04%,-0.30%,0.94%,5.90%,8.50%,-1.46%,6.34%,7.05%,-0.88%,9.36%,0.82%,10.64%
197202,0.25%,2.88%,3.80%,6.48%,8.32%,7.16%,6.18%,6.58%,2.38%,7.13%,2.63%,1.92%,3.14%,6.83%,3.60%,3.15%,0.13%,1.90%,6.65%,-3.61%,2.68%,-2.50%,0.16%,2.48%,1.85%,4.86%,3.27%,4.90%,5.60%,6.26%,0.03%,3.64%
197203,0.27%,0.60%,0.09%,-2.29%,3.01%,-1.08%,-1.71%,4.14%,-2.39%,0.46%,2.46%,-0.24%,0.90%,0.26%,1.55%,3.29%,4.73%,-0.94%,0.44%,-12.50%,-5.38%,-0.15%,-0.32%,-3.06%,1.01%,2.70%,-0.13%,1.06%,2.20%,2.98%,5.16%,0.74%
197204,0.29%,0.26%,2.10%,2.40%,6.29%,0.58%,2.94%,2.34%,-1.34%,1.08%,2.15%,-1.62%,1.93%,0.18%,3.95%,6.13%,-2.60%,-1.52%,-0.31%,4.20%,-0.77%,-2.81%,-1.05%,-1.42%,0.80%,1.86%,2.07%,3.13%,-1.27%,1.98%,2.58%,3.82%
197205,0.30%,1.34%,0.32%,4.96%,2.79%,5.63%,1.73%,4.02%,-5.71%,3.52%,1.34%,-2.93%,-3.20%,-1.47%,2.27%,1.91%,-2.85%,1.85%,3.18%,-8.45%,3.77%,-0.17%,1.19%,-0.58%,3.85%,0.96%,1.62%,1.16%,1.24%,4.40%,-1.85%,-1.10%
197206,0.29%,-2.38%,-1.38%,6.10%,-0.75%,-2.18%,-3.29%,-1.02%,-3.55%,2.51%,-3.92%,0.66%,-3.26%,-5.41%,-1.64%,-1.48%,-2.71%,-4.45%,-0.77%,-13.33%,-0.74%,-1.55%,-2.74%,-5.31%,-2.51%,-2.36%,-9.68%,-5.31%,-4.11%,-0.21%,-3.82%,-6.71%
197207,0.31%,-0.74%,1.26%,-1.93%,-5.25%,-3.91%,-5.78%,0.97%,-4.03%,3.13%,-0.31%,-2.75%,-2.50%,-3.87%,-0.68%,-4.05%,-1.11%,0.76%,-3.77%,-10.98%,-0.93%,0.04%,0.75%,-2.91%,1.00%,2.47%,-4.22%,-5.01%,-2.02%,-8.56%,-1.06%,-1.62%
197208,0.29%,3.31%,0.93%,5.20%,-2.71%,-2.55%,0.11%,-0.79%,-0.11%,1.05%,7.59%,-2.65%,0.93%,8.42%,4.94%,0.53%,4.32%,2.65%,3.20%,11.24%,12.42%,5.96%,5.16%,0.71%,2.92%,2.03%,0.82%,2.10%,-0.57%,-1.82%,6.08%,4.85%
197209,0.34%,-1.11%,-1.31%,-0.39%,-7.57%,-2.92%,-1.81%,1.77%,-3.23%,-0.44%,-4.60%,-3.57%,-2.85%,-3.93%,-1.51%,-2.13%,-1.11%,-2.19%,-2.86%,-15.31%,-0.09%,0.19%,4.31%,-2.90%,-1.15%,-2.59%,-6.34%,-3.53%,-0.19%,0.36%,-0.20%,-3.81%
197210,0.40%,0.47%,1.96%,-3.80%,-1.07%,-0.11%,-3.61%,2.08%,-1.24%,1.51%,0.11%,0.91%,-0.77%,-1.89%,-0.95%,2.46%,-3.63%,-1.56%,-0.34%,-4.88%,3.17%,6.75%,2.30%,-2.09%,-3.46%,3.31%,2.88%,-0.74%,0.74%,4.44%,1.62%,-1.53%
197211,0.37%,4.61%,5.85%,4.85%,10.15%,4.74%,5.07%,0.29%,9.98%,-0.56%,6.02%,9.00%,7.90%,13.29%,6.31%,2.69%,10.20%,7.86%,4.22%,15.71%,6.11%,6.40%,7.10%,4.38%,2.67%,5.38%,5.69%,3.95%,6.04%,5.65%,4.73%,4.24%
197212,0.37%,0.75%,2.16%,-0.82%,-3.38%,5.72%,1.87%,4.43%,-2.97%,3.74%,0.97%,-1.06%,-1.86%,-5.64%,-0.42%,0.38%,-0.47%,-3.46%,3.07%,-3.36%,1.11%,-1.54%,1.45%,-0.68%,2.05%,1.22%,-3.89%,-0.29%,1.40%,4.20%,-0.77%,-2.60%
197301,0.44%,-3.19%,-2.88%,-5.25%,0.15%,-13.14%,-7.56%,-4.11%,-6.84%,-1.19%,-2.57%,-7.94%,-8.12%,-1.17%,-4.42%,-5.73%,-5.89%,-7.32%,3.28%,13.85%,5.01%,-4.28%,-2.12%,-6.66%,2.19%,-4.04%,-10.28%,-7.00%,-3.89%,-6.44%,-7.45%,-2.04%
197302,0.41%,-4.85%,-3.80%,1.94%,-1.23%,-11.63%,-4.83%,-0.89%,-9.72%,-0.71%,-0.36%,-8.31%,-7.46%,-1.58%,-3.72%,-6.11%,-6.49%,-4.85%,4.99%,-0.09%,-7.41%,-1.97%,-4.62%,-8.88%,-2.87%,-4.44%,-6.16%,-6.33%,-5.78%,-12.53%,-6.14%,-6.27%
197303,0.46%,-1.25%,-1.20%,0.78%,0.52%,-4.24%,-1.82%,-1.37%,-4.60%,0.78%,0.73%,0.56%,-1.35%,3.68%,-3.91%,-0.02%,-2.20%,-1.46%,-1.37%,0.64%,3.10%,-2.15%,0.54%,-2.99%,-1.25%,2.50%,3.27%,-6.01%,-6.37%,1.41%,-0.37%,-1.11%
197304,0.52%,-5.70%,-4.00%,-5.09%,-8.60%,-8.70%,-12.16%,-5.45%,-8.04%,-5.49%,-3.64%,-6.77%,-3.83%,-1.17%,-6.05%,-10.05%,-3.12%,-7.32%,-1.07%,-9.51%,-0.95%,-0.60%,0.88%,-8.05%,-6.64%,-3.94%,-8.56%,-7.74%,-7.87%,-17.15%,-7.95%,-8.31%
197305,0.51%,-2.96%,-0.87%,-0.52%,-1.90%,-5.97%,-3.03%,-0.41%,-7.35%,1.07%,-1.09%,-5.65%,-4.08%,-5.16%,-2.96%,1.81%,-5.95%,-4.49%,-2.07%,-2.06%,-3.53%,0.36%,-0.82%,-8.72%,-2.41%,2.33%,-10.41%,-7.36%,-1.53%,-5.50%,-3.27%,-6.11%
