mdate,Rf,MktRf,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
200205,0.14%,-1.19%,2.13%,-0.50%,4.52%,-3.85%,-0.50%,-0.20%,-1.59%,-2.31%,2.08%,0.27%,-1.13%,0.28%,-4.47%,3.38%,0.63%,0.51%,8.04%,5.57%,-0.65%,-7.38%,3.20%,-3.46%,-3.02%,0.42%,-0.07%,-3.81%,-1.27%,-0.02%,-0.15%,-1.23%
200206,0.13%,-7.16%,-2.82%,-0.25%,-22.05%,-6.89%,-3.99%,-2.95%,-1.63%,-9.69%,-0.97%,-5.18%,-2.23%,-5.31%,-7.47%,-6.95%,-9.48%,-0.27%,-9.60%,-6.13%,-0.42%,-5.88%,-14.02%,-7.10%,-18.67%,-2.77%,-0.85%,-5.89%,-5.13%,-4.31%,-4.85%,-4.59%
200207,0.15%,-8.26%,-9.27%,-7.29%,4.05%,-14.88%,-5.18%,-2.43%,-10.03%,-2.67%,-9.25%,-22.88%,-10.68%,-20.38%,-14.29%,-9.04%,-12.49%,-8.25%,-9.57%,-29.47%,-11.81%,-12.42%,-11.79%,-10.33%,-9.20%,-6.21%,-8.37%,-9.78%,-12.00%,-9.38%,-7.00%,4.75%
200208,0.14%,0.66%,-1.06%,2.39%,8.93%,5.90%,3.52%,1.75%,-1.10%,0.68%,1.86%,-2.47%,-1.98%,-4.88%,-0.75%,0.18%,-1.50%,-9.64%,9.55%,9.78%,0.54%,3.38%,0.13%,2.16%,-3.41%,-0.81%,-2.11%,4.63%,1.92%,-3.90%,2.22%,-3.88%
200209,0.14%,-10.14%,-4.21%,-5.54%,-21.26%,-5.13%,-3.78%,-2.56%,-6.06%,-5.88%,-11.13%,-6.61%,-9.92%,-18.47%,-9.81%,-9.75%,-13.31%,-9.49%,-6.51%,-7.88%,-8.09%,-10.90%,-9.64%,-14.13%,-17.61%,-10.38%,-6.44%,-6.18%,-9.49%,-13.59%,-10.39%,-14.58%
200210,0.14%,7.35%,8.17%,-0.43%,4.91%,11.11%,5.64%,3.12%,9.66%,5.74%,5.63%,3.95%,3.19%,6.42%,9.65%,5.13%,-8.57%,-0.08%,-9.21%,3.94%,3.27%,-0.66%,22.12%,18.71%,15.78%,4.19%,4.66%,5.53%,6.46%,-0.34%,7.30%,1.12%
200211,0.12%,6.01%,0.17%,-3.07%,-6.58%,9.36%,-1.19%,-1.93%,5.28%,3.78%,9.45%,12.08%,5.00%,18.18%,12.15%,11.30%,17.34%,7.12%,1.64%,10.16%,3.06%,1.62%,11.76%,10.77%,21.53%,7.84%,3.89%,-3.45%,2.90%,5.62%,3.21%,5.99%
200212,0.11%,-5.44%,0.13%,-3.19%,8.97%,-13.23%,-1.06%,-0.01%,-4.86%,-4.15%,-4.27%,-4.91%,-2.05%,-10.27%,-8.74%,-4.48%,-8.23%,-2.81%,13.27%,11.66%,0.67%,3.84%,-9.44%,-8.46%,-16.15%,-5.17%,-0.98%,-2.67%,-8.00%,-5.61%,-4.27%,-6.99%
200301,0.10%,-2.44%,-3.79%,-5.84%,-6.25%,-8.09%,1.18%,-2.64%,-4.38%,-0.57%,-5.91%,-4.80%,-3.45%,-4.76%,-5.91%,-4.66%,-2.97%,-3.48%,-2.16%,-13.35%,-2.30%,-3.21%,-4.01%,-2.25%,-0.87%,-1.41%,-5.10%,-2.46%,-5.11%,-5.93%,-1.62%,-5.11%
200302,0.09%,-1.63%,-4.98%,-0.81%,1.24%,-2.17%,-4.79%,-2.75%,-3.10%,-1.85%,-4.16%,-4.16%,0.15%,2.25%,2.05%,-0.11%,-5.89%,-8.59%,-6.91%,14.02%,1.90%,-3.96%,-6.61%,-1.58%,3.04%,-1.54%,-3.13%,-3.49%,-0.54%,-4.82%,-3.24%,1.55%
